https://www.instagram.com/p/oy2GYdqy0U/,hashtags:,#disney,#draw,#drawing,#art,#sketch,#maleficent,#maléfica,#pencil
username,comment_id,text
mariolavictoria,17846383444057763,🎨👌
thamjerene,17846383201057763,Awesome!
hendrymusic88,17846383123057763,Beautiful!
domfenison,17846383060057763,Great pic!
vickywolff,17846382955057763,#angelinajolie #movie #star #película #film #scene #nawdens
melalcocer,17846382757057763,Te quedo increíble!!
outspokenlad,17846382739057763,This is magnificent !! N
nachopj_,17846382736057763,Que buena vic
alepinelor,17846382715057763,Sí se parece! 😱
dk1718,17846382697057763,👍👍👍👍👍👍
